week,Open,Low,High,Close,Volume
2015-10-13/2015-10-19,95.12,93.33,98.57,97.31,108184320
2015-10-20/2015-10-26,98.76,96.47,103.92,101.82,138839113
2015-10-27/2015-11-02,103.8,101.18,105.96,103.3,116745625
2015-11-03/2015-11-09,103.07,102.0,110.65,107.464,176131083
2015-11-10/2015-11-16,105.91,100.47,109.87,101.429,140134360
2015-11-17/2015-11-23,105.25,103.8,108.3,107.35,110227798
2015-11-24/2015-11-30,105.95,103.75,106.93,104.33,59780913
2015-12-01/2015-12-07,106.37,103.35,107.92,106.2,99072815
2015-12-08/2015-12-14,105.9,101.46,106.91,104.595,104254681
2015-12-15/2015-12-21,105.6589,103.6,107.75,104.3101,102847156
2015-12-22/2015-12-28,104.94,103.86,107.2,104.64,49643837
2015-12-29/2016-01-04,106.43,99.75,107.74,101.94,78704137
2016-01-05/2016-01-11,102.8,95.39,103.77,96.791,148717477
2016-01-12/2016-01-18,98.89,92.45,100.58,94.71,145729869
2016-01-19/2016-01-25,93.92,89.37,99.48,98.32,173264316
2016-01-26/2016-02-01,96.94,94.23,116.0,114.6,284874574
2016-02-02/2016-02-08,114.55,97.46,117.59,99.94,285713364
2016-02-09/2016-02-15,98.3,96.82,105.11,101.95,178209324
2016-02-16/2016-02-22,103.125,100.24,108.25,105.83,175336708
2016-02-23/2016-02-29,105.47,102.74,109.45,107.0,138094275
2016-03-01/2016-03-07,107.96,104.72,110.55,106.4,122078103
2016-03-08/2016-03-14,104.89,104.4,110.33,109.1,102056264
2016-03-15/2016-03-21,109.38,108.84,112.69,111.83,112721578
2016-03-22/2016-03-28,112.15,111.0,114.5889,113.47,70950407
2016-03-29/2016-04-04,116.2,107.96,116.99,112.3,147370437
2016-04-05/2016-04-11,112.8,108.42,114.89,108.6,144008013
2016-04-12/2016-04-18,110.6799,106.52,112.65,110.16,174127386
2016-04-19/2016-04-25,112.1319,109.01,116.49,110.07,122936414
2016-04-26/2016-05-02,110.47,106.31,121.71,118.51,211225140
2016-05-03/2016-05-09,117.83,116.5,120.28,119.0,109122121
2016-05-10/2016-05-16,119.95100000000001,117.35,121.08,120.1,108300707
2016-05-17/2016-05-23,117.711,115.84,119.19,115.9,95026842
2016-05-24/2016-05-30,116.65,116.12,119.85,119.39,66879521
2016-05-31/2016-06-06,118.25,117.82,120.1,118.89,71258593
2016-06-07/2016-06-13,117.7201,113.31,119.3,114.12899999999999,88344280
2016-06-14/2016-06-20,113.6,112.56,115.44,113.89,94301066
2016-06-21/2016-06-27,113.77,108.23,115.84,108.86,116197623
2016-06-28/2016-07-04,111.97,109.25,115.18,114.83200000000001,78767885
2016-07-05/2016-07-11,113.55,112.97,118.7,118.0172,83048242
2016-07-12/2016-07-18,117.8,116.39,119.65,119.0,77750465
2016-07-19/2016-07-25,120.88,117.78,122.5,120.7665,89489571
2016-07-26/2016-08-01,122.01,120.0,133.91,124.3236,195577966
2016-08-02/2016-08-08,122.74,122.07,125.835,125.46,92548492
2016-08-09/2016-08-15,125.3,123.7,126.09,125.16,67504430
2016-08-16/2016-08-22,123.6237,122.78,124.83,124.115,60321391
2016-08-23/2016-08-29,124.65,123.09,126.73,125.7484,64316478
2016-08-30/2016-09-05,125.68,125.1,126.86,126.6,53303134
2016-09-06/2016-09-12,127.29,125.3,131.98,128.1,107917949
2016-09-13/2016-09-19,127.44,126.66,130.09,128.88,80208173
2016-09-20/2016-09-26,128.36,126.26,130.73,127.485,78336175
2016-09-27/2016-10-03,128.2,127.0,129.47,127.96,68080423
2016-10-04/2016-10-10,128.13,127.5499,130.7,130.41,61407710
2016-10-11/2016-10-17,129.71,126.75,130.64,127.93,63134938
2016-10-18/2016-10-24,128.585,128.01,133.405,133.11,72653476
2016-10-25/2016-10-31,132.55,128.5,133.84,131.48,76511350
2016-11-01/2016-11-07,131.08,116.31,132.04,121.985,174361607
2016-11-08/2016-11-14,121.85,113.5535,124.9,114.7985,189070500
2016-11-15/2016-11-21,117.3,113.25,121.95,119.78,132444860
2016-11-22/2016-11-28,121.06,119.6,122.98,120.9689,62920621
2016-11-29/2016-12-05,121.3,114.0,122.1,117.08,126005639
2016-12-06/2016-12-12,117.65,116.33,119.94,118.3741,91139412
2016-12-13/2016-12-19,120.595,117.6,122.5,119.86,107429346
2016-12-20/2016-12-26,119.17,116.3,119.77,117.15,47073523
2016-12-27/2017-01-02,118.0047,114.7739,118.68,115.15,47674847
2017-01-03/2017-01-09,116.78,115.05,125.43,125.11,107283076
2017-01-10/2017-01-16,124.54,124.01,129.27,128.43,76108344
2017-01-17/2017-01-23,127.88,126.64,129.25,127.67,70519210
2017-01-24/2017-01-30,129.3647,128.38,133.86,129.98,89777660
2017-01-31/2017-02-06,129.5975,129.5157,137.99,131.7499,162740241
2017-02-07/2017-02-13,131.94,103.0,134.94,134.1999,79166108
2017-02-14/2017-02-20,132.785,132.55,134.23,133.39,49919045
2017-02-21/2017-02-27,134.28,132.9,137.1846,137.12,84052713
2017-02-28/2017-03-06,135.67,134.75,137.83,136.709,63240566
2017-03-07/2017-03-13,137.06,136.99,140.6361,139.3348,62613680
2017-03-14/2017-03-20,139.34,138.49,140.6,139.99,72012644
2017-03-21/2017-03-27,138.5,137.6,142.3082,140.02,85475409
2017-03-28/2017-04-03,140.89,140.0,142.95,141.9,63955476
2017-04-04/2017-04-10,141.79,140.24,143.44,141.13,60787641
2017-04-11/2017-04-17,139.96,138.81,141.78,141.0391,47205451
2017-04-18/2017-04-24,141.17,140.61,145.69,145.26,70276973
2017-04-25/2017-05-01,146.325,145.15,152.65,152.1324,93256198
2017-05-02/2017-05-08,152.82,145.45,154.85,150.77,117170963
2017-05-09/2017-05-15,150.4,148.86,152.59,150.5,63075192
2017-05-16/2017-05-22,149.65,143.6,150.83,147.81,89298288
2017-05-23/2017-05-29,147.99,139.97,152.59,151.8,62918959
2017-05-30/2017-06-05,152.4,150.3,154.7088,153.98,70433276
2017-06-06/2017-06-12,154.09,144.56,155.59,149.25,106916737
2017-06-13/2017-06-19,150.61,146.3747,153.57,152.965,94777420
2017-06-20/2017-06-26,152.28,151.75,156.5,154.58,72077308
2017-06-27/2017-07-03,150.61,147.8,153.66,148.08,87496157
2017-07-04/2017-07-10,150.72,147.8,153.98,151.91,53357026
2017-07-11/2017-07-17,154.22,152.91,160.78,159.106,76433132
2017-07-18/2017-07-24,163.43,158.75,166.5,165.65,98019154
2017-07-25/2017-07-31,165.25,158.0,179.21,168.98,172929469
2017-08-01/2017-08-07,170.04,166.91,172.25,172.0,63166277
2017-08-08/2017-08-14,171.15,166.0,173.05,170.355,69839617
2017-08-15/2017-08-21,170.7299,165.82,171.97,167.39,65417123
2017-08-22/2017-08-28,168.6,165.88,169.87,167.15,53213722
2017-08-29/2017-09-04,167.54,165.0,172.915,172.18,48443189
2017-09-05/2017-09-11,170.25,169.55,173.89,173.51,66001038
2017-09-12/2017-09-18,172.465,169.34,174.0,171.06799999999998,58438057
2017-09-19/2017-09-25,171.93,161.56,173.05,164.4,84128432
2017-09-26/2017-10-02,164.28,162.78,171.87,170.62,79076561
2017-10-03/2017-10-09,170.0,168.0,174.88,172.65,59662756
2017-10-10/2017-10-16,171.24,170.8,175.0,174.64,55536560
2017-10-17/2017-10-23,175.86,171.25,176.89,173.84,65782062
2017-10-24/2017-10-30,172.67,168.89,180.69,179.81,88758361
2017-10-31/2017-11-06,180.06,176.71,188.0,180.39,124935173
2017-11-07/2017-11-13,180.15,177.09,180.7478,178.58,52753916
2017-11-14/2017-11-20,178.34,176.06,179.98,178.75,54600550
2017-11-21/2017-11-27,181.88,178.6,183.73,182.1995,43484174
2017-11-28/2017-12-04,183.57,0.0,184.25,172.2,120361464
2017-12-05/2017-12-11,172.9,0.0,182.28,179.38,89880586
2017-12-12/2017-12-18,178.0,0.0,181.5,181.25,84407291
2017-12-19/2017-12-25,178.83,0.0,181.0,177.0,43655907
2017-12-26/2018-01-01,175.97,0.0,178.9367,176.4,36769823
2018-01-02/2018-01-08,181.135,176.29,188.9,188.18,74078596
2018-01-09/2018-01-15,187.8,177.0,188.8,179.85,106035406
2018-01-16/2018-01-22,181.72,175.8,186.5,184.1,125959631
2018-01-23/2018-01-29,186.25,185.35,190.66,187.74,99863486
2018-01-30/2018-02-05,187.04,177.1,195.32,187.6428,172506249
2018-02-06/2018-02-12,184.9,167.18,185.77,176.3,165022524
2018-02-13/2018-02-19,174.78,172.25,181.1,177.13,88764280
2018-02-20/2018-02-26,175.89,175.11,185.66,185.1568,94089118
2018-02-27/2018-03-05,181.65,172.99,185.02,178.44,88755614
2018-03-06/2018-03-12,180.16,177.06,186.1,184.9563,79038667
2018-03-13/2018-03-19,184.48,170.0,185.99,172.5,153066852
2018-03-20/2018-03-26,167.59,149.02,173.4,159.0,482000630
2018-03-27/2018-04-02,158.52,150.0,162.85,155.0,230169565
2018-04-03/2018-04-09,155.9,150.49,161.6,156.35,202533824
2018-04-10/2018-04-16,159.24,157.01,168.65,165.53,185419315
2018-04-17/2018-04-23,168.07,165.05,169.3,166.86,107425575
2018-04-24/2018-04-30,165.7,156.19,177.7,174.2,198125498
2018-05-01/2018-05-07,172.47,170.23,179.5,178.92,111054810
2018-05-08/2018-05-14,178.38,176.91,188.32,186.63,88885298
2018-05-15/2018-05-21,183.97299999999998,182.22,186.18,183.67,69033055
2018-05-22/2018-05-28,184.372,181.75,187.25,185.02,48134095
2018-05-29/2018-06-04,185.85,183.12,194.5492,191.31,88801391
2018-06-05/2018-06-11,192.94,178.18,197.09,188.42,78893294
2018-06-12/2018-06-18,192.35,191.5,199.58,198.4,77726649
2018-06-19/2018-06-25,197.62,193.11,203.55,199.98,103148993
2018-06-26/2018-07-02,198.47,192.22,200.75,194.19,78701685
2018-07-03/2018-07-09,194.02,192.52,205.8,203.1516,67706161
2018-07-10/2018-07-16,204.72,201.2,208.72,207.16,60513432
2018-07-17/2018-07-23,204.51,204.1,214.72,210.685,69385948
2018-07-24/2018-07-30,213.79,164.3,219.0,167.75,382500955
2018-07-31/2018-08-06,171.2,169.9,185.8,185.63,175836233
2018-08-07/2018-08-13,185.14,178.7,188.3,180.28,110036135
2018-08-14/2018-08-20,180.74,170.91,181.99,174.06,123163380
2018-08-21/2018-08-27,173.48,171.39,178.67,177.9,82099770
2018-08-28/2018-09-03,176.3,174.75,179.7901,175.72,71050934
2018-09-04/2018-09-10,174.3,160.0,175.97,163.63,140380586
2018-09-11/2018-09-17,166.3235,159.51,167.19,161.94,106825390
2018-09-18/2018-09-24,160.01,158.26,167.25,164.59,110121481
2018-09-25/2018-10-01,164.68,160.07,171.77,162.4,131743446
2018-10-02/2018-10-08,159.795,154.39,163.66,156.7501,125166387
2018-10-09/2018-10-15,159.21,148.02,160.59,153.43,117141026
2018-10-16/2018-10-22,160.18,153.28,160.5,156.88,85918123
2018-10-23/2018-10-29,151.34,139.03,154.9899,144.0669,123294478
2018-10-30/2018-11-05,143.5651,136.4,156.4,148.025,168316263
2018-11-06/2018-11-12,148.3027,140.4899,153.01,143.33,92397705
2018-11-13/2018-11-19,142.43,130.92,145.58,132.1,142075759
2018-11-20/2018-11-26,129.68,126.71,137.19,134.485,98830052
2018-11-27/2018-12-03,133.97,131.85,145.25,143.1,112546299
2018-12-04/2018-12-10,139.43,132.4,143.39,139.0,99647847
2018-12-11/2018-12-17,141.63,138.42,147.19,142.8,98137879
2018-12-18/2018-12-24,142.84,122.55,145.93,123.06,189241856
2018-12-25/2018-12-31,133.48,124.0,136.0,130.5317,110855682
2019-01-01/2019-01-07,130.89,127.0,138.87,137.99,91925662
2019-01-08/2019-01-14,139.38,137.8,146.57,141.8,90582790
2019-01-15/2019-01-21,149.78,145.3,152.43,150.1701,84605194
2019-01-22/2019-01-28,147.0537,142.52,151.53,146.89,92953583
2019-01-29/2019-02-04,145.5,143.43,171.68,168.91400000000002,184495019
2019-02-05/2019-02-11,169.99,164.19,172.47,166.12,70681434
2019-02-12/2019-02-18,166.9,160.86,168.34,162.4,55189207
2019-02-19/2019-02-25,161.05,159.59,166.07,164.94,68223798
2019-02-26/2019-03-04,164.63,160.41,167.5,164.535,61509217
2019-03-05/2019-03-11,170.4,165.79,174.3,173.87,93054278
2019-03-12/2019-03-18,171.6,159.28,174.03,160.82,107510689
2019-03-19/2019-03-25,161.48,160.82,167.42,163.85,82604168
2019-03-26/2019-04-01,168.34,163.33,169.45,168.22,54060208
2019-04-02/2019-04-08,174.48,168.19,178.0,174.93,82194250
2019-04-09/2019-04-15,177.44,174.0,180.5,178.8795,57900038
2019-04-16/2019-04-22,179.39,176.32,182.26,179.7419,41405249
2019-04-23/2019-04-29,183.03,175.5,202.25,194.86,146203617
2019-04-30/2019-05-06,194.9,189.67,197.39,192.82,75763718
2019-05-07/2019-05-13,190.31,180.55,193.19,184.85,65185817
2019-05-14/2019-05-20,180.5,178.1,188.575,183.6001,62669114
2019-05-21/2019-05-27,185.2,179.67,186.74,182.8868,33069074
2019-05-28/2019-06-03,183.31,161.01,184.7119,170.71,98534106
2019-06-04/2019-06-10,167.96,160.84,177.86,174.75,103165573
2019-06-11/2019-06-17,178.25,172.88,191.4,186.52200000000002,85910501
2019-06-18/2019-06-24,188.48,184.55,194.58,193.1,102146935
2019-06-25/2019-07-01,192.46,187.2,196.3,193.1,63245423
2019-07-02/2019-07-08,194.9,191.11,197.4,194.66,37691421
2019-07-09/2019-07-15,199.9599,193.82,205.49,204.3009,75152091
2019-07-16/2019-07-22,204.07,197.5,205.4707,202.25,58640770
2019-07-23/2019-07-29,199.25,195.3,216.5,197.1396,132189830
2019-07-30/2019-08-05,195.23,176.25,198.76,182.38,86602304
2019-08-06/2019-08-12,183.6,172.6596,202.32,187.81,76123737
2019-08-13/2019-08-19,190.06,173.6805,203.8,186.03,72321649
2019-08-20/2019-08-26,184.7,170.913625,187.75,179.9787,48628064
2019-08-27/2019-09-02,181.2,173.6805,187.31,185.07,48974339
2019-09-03/2019-09-09,182.94,175.985694,206.7,188.8,67945978
2019-09-10/2019-09-16,188.0,184.55,197.952583,186.37,62154297
2019-09-17/2019-09-23,185.61,175.98575,200.8495,186.24,74225348
2019-09-24/2019-09-30,181.09,167.45408999999998,188.09,178.06,83190159
2019-10-01/2019-10-07,176.5879,170.913625,181.18,180.72,92222460
2019-10-08/2019-10-14,178.73,173.6805,186.49,183.78,100761273
2019-10-15/2019-10-21,186.72,183.51,200.8495,189.245,119806005
2019-10-22/2019-10-28,189.585,173.6805,191.0,187.08,72971342
2019-10-29/2019-11-04,190.6482,180.03,200.8495,195.7093,105628928
2019-11-05/2019-11-11,194.11,187.5117,195.77,189.8,58393470
2019-11-12/2019-11-18,194.23,189.39,200.8495,195.67,65717683
2019-11-19/2019-11-25,199.2,195.4114,200.98,200.38,74748024
2019-11-26/2019-12-02,199.0153,187.7905,210.516,199.9,46159600
2019-12-03/2019-12-09,196.45,191.146209,214.84799999999998,200.75,60796851
2019-12-10/2019-12-16,200.9,188.8945,210.516,197.84,80950171
2019-12-17/2019-12-23,197.1322,191.146205,208.59,206.0,95939011
2019-12-24/2019-12-30,206.49,193.6223,210.516,204.4801,39067571
2019-12-31/2020-01-06,204.59,203.2,212.8,210.95,44021918
2020-01-07/2020-01-13,213.7088,208.12,222.1,221.28,62462512
2020-01-14/2020-01-20,219.42,218.55,222.9,221.8,43333275
2020-01-21/2020-01-27,220.86,212.5,222.85,214.45,54208420
2020-01-28/2020-02-03,216.7,201.06,225.07,203.01,136391491
2020-02-04/2020-02-10,203.8,203.35,213.8,212.56,60180832
2020-02-11/2020-02-17,209.63,206.5102,214.93,214.07,60588138
2020-02-18/2020-02-24,216.74,198.17,218.8,204.0,71001313
2020-02-25/2020-03-02,201.82,181.82,203.5,190.72,106565454
2020-03-03/2020-03-09,196.5,165.19,197.7,170.83,113222338
2020-03-10/2020-03-16,173.75,143.1,178.29,151.695,148668139
2020-03-17/2020-03-23,149.69,137.1006,162.5,146.99,159452062
2020-03-24/2020-03-30,158.0,151.77,166.75,159.82,127032475
